,Control_1,Control_2,Control_3,Control_4,Control_5,Control_6,Control_7,Treat_8,Treat_9,Treat_10,Treat_11,Treat_12,Treat_13,Treat_14
Gene14,-0.684032775121378,-0.141173856864862,-0.824932626893785,0.0195528614961518,-0.783712905101934,0.208055399982167,-0.026501624715107,1.13025950035894,1.92672925541418,2.43853251112616,1.2975816604808,1.36769330812254,2.81999629512214,1.55276153742024
Gene15,-0.00280493973627227,0.485230373266283,0.578845910312385,0.258708094073962,1.53704795018898,-1.00605111625939,0.836314020324947,-1.27811383687146,-0.178358441664333,-0.444207838932135,-1.36698224732125,-0.91928446363447,-1.75376054575175,-1.1357443400229
Gene16,-0.0690255859232493,-0.071796120630257,0.654115826158811,0.570621425582916,-0.0205320034941329,-0.552548145938802,-0.289789848659641,-0.50076507129116,-0.616228035008759,-2.24787404051728,-0.905108972633695,-0.788187437406658,-1.65014135757122,-1.03307298631778
Gene17,0.553592787867935,-0.0462702545545628,1.06109200031559,0.266682194993159,0.306620920582211,-0.536902188200141,-0.91215692610844,-0.35927649581231,-1.20960967677741,-0.958538199931744,-1.02571862394343,-0.841395087590644,-0.288288608712937,-2.385215715235
Gene18,0.671268174144543,-0.147112635899508,-0.149434612796814,0.713521012421652,-0.286460817166338,-0.589091794670913,0.749831600655415,-0.477517809643927,-0.760167571854886,-2.0403912111687,-1.13884831638346,-0.732169177210465,-1.56745100590771,-1.40441850428457
Gene19,-0.310632787246134,0.602234133716417,-0.162248767739715,1.19231367050806,0.292011878974736,-1.61090403003102,0.813644901443852,-1.69988039672905,-1.04303678758639,-1.81486822499252,-0.423974961985057,-1.16383589726787,-1.44310532520326,-1.61059033872282
Gene20,-0.0869709627037757,1.09167808204975,1.52358736712197,-0.66644662341682,0.772162693083619,-0.289498804913095,-0.508300197318548,-1.10603505257845,-1.74237209165143,-1.41067924800469,-1.2938747418725,-0.715211727858307,-1.38325334904228,-0.982347455042096
Gene21,0.0641654684040789,-0.252196318460586,-0.607401391389567,-0.0773367977761545,-0.111359428419885,-0.0496486663482588,0.495292679093478,-1.40552347947619,-0.997296913735951,-0.612869370529562,-0.744590547217223,-2.44417008452857,-1.48434509597561,-1.35195050123547
Gene22,-0.563510074114568,0.715464430118348,1.12416597423591,0.848096935233517,0.6459972054243,-0.921534195308891,0.0455311576399401,-1.12271197516353,-0.851470900852292,-0.929650321991234,0.0884592174284762,0.202209888032249,0.516953334566227,-1.68836047487088
Gene23,0.0696266384151693,-0.0594284473746158,-0.10573226760909,0.292507425270128,-0.16132379246487,0.89619304975975,-0.81835128201758,-1.01354911597172,-1.43268770455572,-1.98431481480248,-1.39071929037951,-1.87661656672133,-0.627332316923424,-0.641459602997477
Gene24,-0.028859196401352,-0.972545276733627,-0.638528384873495,0.248070198767588,0.625356351183328,0.396254113220692,0.623545492982485,-1.30081876147476,-1.59518878538839,-1.23891150796901,-0.398946116125362,-0.79647980907266,-0.525876746816589,-0.75024769952591
Gene25,-0.235237201006643,0.521015906049401,0.219340227860558,-0.192352021757809,-1.35062901413341,-0.536208384487912,0.707713104720495,-1.5779281978225,-0.811334376831683,-1.00012840336092,-2.54640248404271,-1.05360273227773,-1.45733654725652,-1.58030711794226
Gene26,-0.41966498583956,0.995287399289977,0.13896406137649,0.496878410516767,-0.126390610269773,-0.547901854885645,0.566001911024566,-1.72541406015364,-0.0267010681688311,-1.05344607217376,0.430034439069288,-0.59785942116212,-1.11432276482765,-0.421672562782509
Gene27,1.47842357502642,-0.737774656621413,0.145524538239971,0.422159835541808,0.488888533245022,0.19662510781608,-0.110061135611677,-0.911072470916182,-0.52365450666672,-0.82289217319082,0.475624407752162,-0.613799666488569,-0.963653075997291,-1.5964256841758
Gene28,0.425506571154605,-0.495673954924142,-0.960328294239686,0.301818646286452,-0.454394508351962,1.0067853321391,0.459296587152911,-1.88360716821254,-1.0333633885043,-0.219213548657591,-1.47903903013087,-0.365488893841303,-1.81033907209293,-1.20496630525677
Gene29,-0.141041121018213,0.364475489965885,-0.722261847823194,0.0608878578155068,-0.0739036725780739,-0.0111520144558186,-0.11945215316526,-1.06742798595187,1.81343907155971,-0.161200230564045,-0.510912838267793,-0.973262728690869,0.525199965753512,-0.376399566625501
Gene30,-1.32909233364638,-0.319294306528492,0.343729479362298,1.16865050053259,0.479334252183608,-0.863708536472092,-0.531162064098047,-0.277497808058294,-1.07570143126372,0.485561037517225,0.0058278647078828,-0.491321158461457,0.982244672632161,0.927785972125419
Gene31,0.299830410855341,0.40286332961055,-0.564571098984908,0.754759738111459,-0.388685280664313,0.571095076630424,-0.384379579819434,-0.492935534662648,0.897076035717722,0.000738451907812914,0.853063042425324,1.15872289911608,-0.257893331198045,-1.44129280796948
Gene32,0.00695315497365084,0.464501861743517,0.28706222524871,-0.254116157076257,-1.01429781136461,0.674725114159475,0.539928375838966,-0.087028444031719,0.744236147077921,0.390524700121102,-0.0794917891237276,-0.0122930808364649,-0.342725217897562,-0.988933802335335
Gene33,1.27179423370027,-0.343138807811564,-0.20395803834729,1.14704391491317,0.0903137356351768,-0.0988491107631015,-0.580367416462559,-0.311655469619324,-0.541607524693266,-0.0688191444879635,-0.338788269230171,0.129161749216485,-0.349357705479054,0.164129173455488
Gene34,0.451644921533156,0.40261643145055,-0.470656471281087,-0.847412883304187,-0.85961393947596,0.554180507727332,0.042481643964507,-0.0312552996953696,-0.23268666481668,0.147887960528853,-0.631016722880999,1.13297233421195,0.740251375894473,1.14825608448314
Gene35,-1.0683588794428,0.187356389456334,-0.315208981793675,-0.456858574025964,0.397638683851392,-0.481862429071354,-0.561735193756467,-0.0985814782512195,0.312270822371727,-0.795269258816767,0.32001252354223,0.0715225576019783,0.197876038756163,0.952129651060027
Gene36,-0.061490321531359,0.628832049171162,-0.341749163710963,0.531766781736951,-0.277465687305603,0.504232459886822,-0.962802284003585,0.0704987615759159,-0.875878720236198,-1.26384256372849,-0.190907360967087,0.322858079523039,-0.190959835389057,-0.228132902232419
Gene37,0.26180815252551,1.07958098491197,-0.273692321216809,0.0507881082782892,0.548732639237728,0.977982736022719,-0.290577995506502,0.226577967350551,0.403081093663056,0.905235120102432,0.287571855000962,0.395780511015971,0.582371202436174,1.29059744506091
Gene38,-0.0672304615682996,0.60568771559297,0.507630497292129,0.179627961619819,-0.401778261869465,0.374170688325261,-0.833426070894095,0.388285907774963,0.692557833529738,0.581962482680069,0.733293627788422,-0.22321385178519,0.219767129631655,-0.419668692227611
Gene39,-0.0799933010938783,-0.011749489750005,0.408889761654592,0.209457503768488,0.531750271280788,0.530594973810632,0.457292644752334,0.730851796428123,0.399957857980815,-0.779100182811747,-0.437086324527151,0.224585585530726,-0.0415336272214998,0.239875166133246
Gene40,-0.333322089592036,-0.0968311609507716,-0.13870607025532,0.504856476555361,-0.156570900284765,-0.382764284527897,0.073014666388634,0.514710379600796,0.213704497600065,0.417012562379253,0.499131313814558,0.0754162360048953,-0.15063141709084,-0.0871840613249324
Gene41,-1.35430429328912,0.0366626762304578,0.456747202769644,-0.0437371789778728,-0.235788411895988,0.911935268435046,-0.469890302550119,0.191423626403095,-0.234091225505354,0.731847898065682,-0.453097483673335,-0.100175288320023,0.00130323055768571,-0.460817223056554
Gene42,1.23067828408206,-0.171291023888737,0.731102859961211,-0.34471168543772,1.25005199857755,-0.0414254192102605,-1.09889610955259,0.153175512620853,0.539942354169914,0.509902146857341,-0.989886002905415,0.186227153459123,-0.70412551560294,0.317997354529318
